Reaction_No,Reactant_1_Name,Reactant_1_Short_Hand,Reactant_1_eq,Reactant_1_mmol,Reactant_2_Name,Reactant_2_eq,Catalyst_1_Short_Hand,Catalyst_1_eq,Ligand_Short_Hand,Ligand_eq,Reagent_1_Short_Hand,Reagent_1_eq,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,Product_Yield_Mass_Ion_Count,,
1,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,NaOH,2.5,MeCN,4.76,6262.06,,
2,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,NaOH,2.5,MeCN,4.12,13245.57,,
3,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,NaOH,2.5,MeCN,2.58,3009.17,,
4,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,NaOH,2.5,MeCN,4.44,30860.70,,
5,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,NaOH,2.5,MeCN,1.95,2486.31,,
6,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,NaOH,2.5,MeCN,3.25,9592.45,,
7,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,NaOH,2.5,MeCN,86.26,108343.14,,
8,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,NaOH,2.5,MeCN,7.55,9373.40,,
9,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,NaOH,2.5,MeCN,93.67,27239.20,,
10,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,NaOH,2.5,MeCN,14.32,7746.46,,
11,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,NaOH,2.5,MeCN,2.11,897.82,,
12,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,NaOH,2.5,MeCN,17.09,81111.32,,
13,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,NaHCO3,2.5,MeCN,3.16,4185.92,,
14,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,NaHCO3,2.5,MeCN,4.75,12755.63,,
15,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,NaHCO3,2.5,MeCN,2.46,2850.54,,
16,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Cy)3,0.1250,NaHCO3,2.5,MeCN,5.27,35567.25,,
17,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(o-Tol)3,0.1250,NaHCO3,2.5,MeCN,1.96,2606.64,,
18,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,CataCXium A,0.1250,NaHCO3,2.5,MeCN,3.35,11110.37,,
19,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,SPhos,0.1250,NaHCO3,2.5,MeCN,69.22,80639.83,,
20,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dtbpf,0.1250,NaHCO3,2.5,MeCN,5.10,6992.26,,
21,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,XPhos,0.1250,NaHCO3,2.5,MeCN,83.19,93978.65,,
22,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,dppf,0.1250,NaHCO3,2.5,MeCN,13.68,7748.88,,
23,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,Xantphos,0.1250,NaHCO3,2.5,MeCN,1.82,511.73,,
24,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,None,,NaHCO3,2.5,MeCN,10.99,49531.99,,
25,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(tBu)3,0.1250,CsF,2.5,MeCN,1.79,3366.81,,
26,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,P(Ph)3 ,0.1250,CsF,2.5,MeCN,4.36,14015.84,,
27,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.00,Pd(OAc)2,0.0625,AmPhos,0.1250,CsF,2.5,MeCN,2.71,4001.60,,
